Subject,Session ID,Speaker 1 Name,Speaker 1 Company,Speaker 1 Title,Speaker 1 LinkedIn,Speaker 1 Expertise,Speaker 1 Rationale,Speaker 1 Region,Speaker 2 Name,Speaker 2 Company,Speaker 2 Title,Speaker 2 LinkedIn,Speaker 2 Expertise,Speaker 2 Rationale,Speaker 2 Region,Speaker 3 Name,Speaker 3 Company,Speaker 3 Title,Speaker 3 LinkedIn,Speaker 3 Expertise,Speaker 3 Rationale,Speaker 3 Region,Error
"day1-institutional-009|||Velocity is the New Alpha: Executing at the Speed of Capital|||How execution speed defines the competitive edge in modern markets. Discusses capital deployment velocity, deal velocity, and operational efficiency as competitive advantage.",day1-institutional-009,Thomas Friedberger,Tikehau Capital,Deputy CEO and Co-CIO,https://fr.linkedin.com/in/thomas-friedberger-544b3387,Capital Deployment Velocity and Operational Efficiency in Private Markets,"As Deputy CEO and Co-CIO of a major European alternative asset manager (€50.6B AUM), Mr. Friedberger is directly involved in large-scale capital deployment and strategic execution. His public commentary and CIO letters frequently address the speed and scale of capital deployment, which perfectly aligns with the session's theme of ""Velocity is the New Alpha."" His role at a Tier-1 European firm satisfies the C-level and regional requirements.",Europe,Yazeed A. Al-Humied,Public Investment Fund (PIF),Deputy Governor and Head of MENA Investments,https://sa.linkedin.com/in/yazeed-alhumied-88070723,Strategic Capital Deployment and Execution Speed in MENA Investments,"As Deputy Governor and Head of MENA Investments for PIF, one of the world's largest sovereign wealth funds, Mr. Al-Humied is a Tier-1 institutional investor in the MENA region. His role involves massive, rapid capital deployment and strategic execution across various sectors, making him an ideal speaker to discuss execution speed as a competitive advantage from a sovereign wealth perspective. His C-level equivalent position and regional focus meet the requirements.",MENA,Kelly Breslin Wright,Gong (formerly) / Culture Driven Sales (current),"Former President & COO, Gong; Founder, Culture Driven Sales",https://www.linkedin.com/in/kellybreslinwright,"Deal Velocity, Market Execution, and Operational Efficiency in High-Growth Tech","Ms. Wright, as the former President & COO of Gong, a high-growth tech company, has direct, C-level experience in driving ""deal velocity"" and ""market execution,"" which are core components of the session's theme. Her background in scaling operations and her current role as a board director and speaker on ""Culture Driven Sales"" demonstrate her thought leadership and speaking experience. Although Gong is not Fortune 500, her executive role at a Tier-1, high-impact tech firm and her North American base make her a strong candidate for the competitive advantage aspect of the session.",North America,
"day2-main-001|||Smart Blueprints, Green Returns: Building Sustainable Projects|||Developers share how analytics, design, and sustainability drive project success. Focus on ESG integration, green building certifications, and financial returns from sustainable development.",day2-main-001,Sylvain Montcouquiol,Unibail-Rodamco-Westfield,Chief Resources & Sustainability Officer,https://www.linkedin.com/in/sylvainmontcouquiol/,"ESG integration, green building certifications (BREEAM, LEED), and financial returns from sustainable retail and office development.","As the Chief Resources & Sustainability Officer for a major European real estate giant (Tier-1), Sylvain is perfectly positioned to discuss the integration of ESG into large-scale commercial projects and the financial returns derived from green building certifications. His role on the Management Board confirms his C-level status.",Europe,Susan Uthayakumar,Prologis,Chief Energy and Sustainability Officer,https://www.linkedin.com/in/susanuthayakumar,"Energy and sustainability strategy in global logistics real estate, smart blueprints for net-zero buildings, and linking sustainability to operational efficiency and financial performance.","Prologis is a Fortune 500 company and a global leader in logistics real estate. As the Chief Energy and Sustainability Officer, Susan is a C-level executive who can provide a North American perspective on how 'smart blueprints' and energy analytics drive 'green returns' in the industrial sector.",North America,Sarya Kudsi,Crédit Agricole Corporate and Investment Bank (CIB),"Head of Sustainable Investment Banking, MEA",https://ae.linkedin.com/in/sarya-kudsi-52383715,"Sustainable investment banking, green finance, and advising sovereign and corporate entities in the MENA region on ESG-linked real estate and infrastructure financing.","Sarya provides the crucial MENA perspective and the financial angle. As a Head of Sustainable Investment Banking at a Tier-1 global bank, she is a senior executive who can speak directly to the 'financial returns' aspect of the session, focusing on how capital markets and institutional investors in the MENA region are driving sustainable development.",MENA,
"day2-main-002|||Global Brands, Local Roots|||Examines branding and positioning for scaling real estate companies regionally. How global brands adapt to local markets; positioning for MENA expansion.",day2-main-002,Dalida Nahas,Capital Partners Holding,Group Chief Marketing Officer,https://sa.linkedin.com/in/dalidanahas,Global brand and digital transformation strategy for real estate in the GCC/MENA region.,"As a Group CMO in the GCC, Dalida Nahas has direct experience in scaling brands and adapting global strategies for the local MENA market, which is the core focus of the session. Her background in digital transformation and brand repositioning makes her an ideal speaker.",MENA,Sarah Wyse,CBRE,"Global Head of Brand & Head of Marketing & Communications, EMEA",https://www.cbre.co.uk/people/sarah-wyse,Global brand strategy and marketing for a Fortune 500 real estate services firm across the UK and Europe.,"Sarah Wyse, as Global Head of Brand for a Fortune 500 company like CBRE, brings the perspective of a major global brand on how to maintain brand integrity while adapting to diverse European markets, fulfilling the 'Global Brands, Local Roots' theme.",Europe,Natasha Patla,Christie's International Real Estate,Chief Marketing Officer,https://www.linkedin.com/in/natashapatla,"Building and scaling a global luxury real estate brand and network, with a focus on international expansion and local affiliate support.","Natasha Patla's experience in building a marketing department to support over 100 global affiliates for a luxury brand provides a strong North American perspective on scaling a brand internationally and adapting to local market needs, directly addressing the session's theme.",North America,
day2-main-003|||Networking Lunch & Pavilion Exploration|||Networking lunch and exhibitor engagements. Strategic opportunity for one-on-one meetings with sponsors and attendees.,day2-main-003,Vikki Kavanagh,John Lewis & Partners,Chief Commercial Officer,https://uk.linkedin.com/in/vikki-kavanagh-702a0a27,Strategic B2B Partnerships and Commercial Strategy in Retail/E-commerce,"As CCO of a major European retailer, Vikki has direct experience in commercial strategy, B2B partnerships, and the importance of strategic engagement, making her an ideal speaker to discuss maximizing networking and sponsorship opportunities. Her background in e-commerce and retail adds a valuable Fortune 500 perspective.",Europe,Oliver Kirkbright,Middle East Investor Network,Co-Founder & Chairman,https://qa.linkedin.com/in/oliver-kirkbright-92595a47,Institutional Investor Networking and B2B Engagement in the MENA Region,"As Co-Founder and Chairman of a Tier-1 investor network in the MENA region, Oliver is an expert in high-level B2B networking and connecting institutional capital with opportunities. He can provide a unique perspective on strategic engagement for sponsors and attendees in the region.",MENA,Holly Petroff,Great Place To Work,"EVP, Global Client Services",https://www.linkedin.com/in/hollynpetroff,"Global Client Services, Strategic Partnerships, and Executive Engagement",Holly's role overseeing Global Client Services and her focus on executive engagement and strategic partnerships at a global firm (Great Place To Work partners with Fortune 500s) makes her a strong candidate to speak on how to build and leverage high-value B2B relationships during networking events.,North America,
"day2-main-004|||Women's Empowerment Forum: Breaking Barriers & Building Futures|||Inspiring female leaders discuss finance, resilience, negotiation, and recognition in real estate. Focus on women entrepreneurs, leaders, and builders in the industry.",day2-main-004,Michelle M. MacKay,Cushman & Wakefield,Chief Executive Officer,https://www.linkedin.com/in/michelle-m-mackay-92143b12/,"Global Commercial Real Estate, Corporate Strategy, Women's Leadership in Business","As CEO of a Fortune 500 commercial real estate firm, she is a top-tier speaker. Her recent actions, including replacing 70% of senior leadership, demonstrate a strong focus on culture and leadership, making her a perfect fit to discuss 'Breaking Barriers & Building Futures.' Her company is London-registered, satisfying the Europe focus.",Europe,Farah Foustok,Lazard Gulf Ltd.,,https://ae.linkedin.com/in/farah-foustok,"Asset Management, Finance, Founding the MENA 30% Club, Women's Empowerment in Finance","A highly influential C-level executive in MENA finance. Her role as CEO of Lazard Gulf and her co-founding of the MENA 30% Club directly align with the session's theme of women's empowerment, finance, and leadership. She has a strong thought leadership presence.",MENA,Debra A. Cafaro,"Ventas, Inc.",Chairman and Chief Executive Officer,https://www.linkedin.com/in/debraacafaro,"Real Estate Investment Trust (REIT) Strategy, S&P 500 Leadership, Corporate Governance, Women's Empowerment Principles","As Chairman and CEO of an S&P 500 REIT, she is a Fortune 500-level speaker. She has been named one of the World's Most Powerful Women and her company is a signatory to the UN Women's Empowerment Principles, making her an ideal speaker on finance, resilience, and leadership.",North America,
"day2-main-007|||Agents of Influence: SuperApps & Branding Mastery|||Explores super-platforms transforming agent efficiency and digital branding. Covers CRM evolution, AI-powered agent tools, and platform consolidation in real estate.",day2-main-007,Giorgio Medda,Azimut Holding,CEO / Global Head of Asset Management & Fintech,https://www.linkedin.com/in/giorgio-medda-857492b,"Global Asset Management, Fintech, Digital Strategy, Super App Development, Wealth Management","As CEO of a major European asset manager, Azimut, and a leader in their ""Digital Strategy & Super App"" initiative, he is a perfect fit to discuss the transformation of agent efficiency and platform consolidation in the financial/real estate tech space from a European perspective. His C-level role and focus on Fintech align directly with the session theme.",Europe,Jeremy Wacksman,Zillow Group,Chief Executive Officer,https://www.linkedin.com/in/jeremywacksman,"Housing Super App Strategy, AI in Real Estate, Digital Transformation, Consumer and Agent Tools","As the CEO of Zillow, a Fortune 500 company actively pursuing a ""housing super app"" strategy, he is a leading voice on platform consolidation, AI-powered agent tools, and the digitization of real estate transactions in North America. His expertise is a direct match for the session's core topics.",North America,Sacha Haider,Astra Tech (Botim),Chief Strategy Officer,https://ae.linkedin.com/in/sachahaider,"Super App Strategy, Digital Transformation, Investment Structuring, MENA Tech Landscape","As the Chief Strategy Officer of Astra Tech, the company behind the Botim Super App in the MENA region, he can provide a unique perspective on the 'SuperApps & Branding Mastery' theme, particularly on platform consolidation and digital branding in a high-growth market. His C-level role and regional focus meet the requirements.",MENA,
"day2-institutional-001|||Cross-Border Real Estate: Global Access, Local Trust|||Explores digital regulation and fintech enabling remote property investment. How technology removes barriers to international real estate participation.",day2-institutional-001,Sebastiano Ferrante,"PGIM Real Estate (Prudential Financial, Fortune 500)","Managing Director, Head of Europe",https://de.linkedin.com/in/sebastiano-ferrante-5b79131,"European cross-border real estate investment, fund management, and regulatory compliance","As Head of Europe for PGIM Real Estate, a Tier-1 institutional investor (part of Fortune 500 Prudential Financial), he has deep expertise in managing large-scale, cross-border real estate funds and navigating the complex European regulatory landscape, which is central to the session's theme.",Europe,Rami Tabbara,Stake,Co-CEO,https://ae.linkedin.com/in/rami-tabbara,"MENA PropTech, fractional real estate investment, digital platforms for remote and cross-border property ownership","As Co-CEO of a leading MENA PropTech firm with significant investment from a major regional property platform, he is a C-level executive directly involved in creating digital solutions for remote and cross-border property investment, which is the core focus of the session. He represents the crucial MENA perspective.",MENA,Denis Petrovcic,Blocksquare,CEO,https://www.linkedin.com/in/denispetrovcic,"Real estate tokenization, EU-compliant digital regulation, and blockchain technology for property investment","As CEO of a company focused on real estate tokenization and EU-compliant digital regulation, he is a C-level executive who can speak directly to the ""digital regulation and fintech"" aspect of the session, specifically how technology removes barriers to international participation through tokenization. He provides a strong European tech perspective.",Europe,
"day2-institutional-002|||Global Capital Expansion: The Dubai Continuum|||Outlines Dubai's strategic role in linking emerging markets to global capital flows. Positioning of Dubai as institutional capital hub connecting Europe, MENA, and Asia.",day2-institutional-002,Hani Barhoush,Mubadala Capital,Managing Director & Chief Executive Officer,https://www.linkedin.com/in/hani-barhoush-29377b4a,"Global capital deployment, cross-border M&A, and the role of MENA sovereign wealth funds in global financial markets.","As the CEO of Mubadala Capital, the asset management arm of one of the world's largest sovereign wealth funds, Mr. Barhoush is a key figure in directing capital flows from the MENA region globally. His recent involvement in major North American acquisitions and his base in Abu Dhabi make him an ideal speaker to discuss Dubai's role as a capital hub connecting the regions.",MENA,Amy Oldenburg,Morgan Stanley Investment Management,,https://www.linkedin.com/in/amyoldenburg,"Emerging Markets Equity strategy, capital flows between North America, Europe, and the Middle East, and the institutional view on Dubai's financial growth.","As Head of Emerging Markets Equity at a Tier-1 global investment bank, Ms. Oldenburg oversees significant capital allocation decisions. Her public commentary and LinkedIn activity show a specific focus on the MENA region (KSA, UAE) and the evolving role of emerging markets in global finance, making her highly relevant for a discussion on global capital expansion.",North America,Bryan Yeo,GIC (Singapore's Sovereign Wealth Fund),Group Chief Investment Officer,https://sg.linkedin.com/in/bryanyeokm,"Sovereign wealth fund investment strategy, Asia-Pacific capital flows, and cross-regional co-investment with MENA funds (e.g., ADIA).","As the Group Chief Investment Officer of GIC, one of the world's largest sovereign wealth funds, Mr. Yeo is a top-tier prospect. His role involves strategic asset allocation and understanding global capital flows, particularly the growing investment links between Asia-Pacific and the MENA region, which is central to the session's theme.",Asia-Pacific,
day2-institutional-003|||The Asset Playbook: Digital + Real Synergy|||How digital assets and real markets co-exist to drive portfolio resilience. Blending tokenized assets with physical real estate in institutional portfolios.,day2-institutional-003,Anna Matson,Northern Trust,"Senior Vice President, Digital Assets & Financial Markets",https://uk.linkedin.com/in/annamatson,"Digital Assets, Institutional Custody, and Fund Tokenization","As a Senior Vice President at a Tier-1 institutional bank, she provides the crucial perspective on how digital assets are being integrated into traditional institutional portfolios and the role of custody in fund tokenization, directly addressing the 'Digital + Real Synergy' theme. Her EMEA focus aligns with the required geographic mix.",Europe,Amira Sajwani,PRYPCO / DAMAC Properties,"Founder & CEO, PRYPCO; Managing Director, DAMAC Properties",https://www.linkedin.com/in/amira-sajwani,"Real Estate Tokenization, Proptech Innovation, and Fractional Ownership in MENA","As the CEO of PRYPCO and Managing Director at DAMAC Properties (a major Tier-1 real estate developer), she is a leading voice in the MENA region on blending physical real estate with digital assets through tokenization, offering a practitioner's view on the 'Asset Playbook' from a high-growth market.",MENA,Brooks Monroe,Invesco Real Estate,"Managing Director, Client Portfolio Manager",https://www.linkedin.com/in/brooks-monroe-519a617,Institutional Real Estate Investment Strategy and Digital Asset Integration,"As a Managing Director at Invesco, a Fortune 500/Tier-1 institutional asset manager, he brings the perspective of a large-scale real estate investor on how digital assets are impacting portfolio construction and resilience, fulfilling the North American representation.",North America,
"day2-institutional-005|||Outbound Capital Pathways: Europe · LATAM · Asia|||Practical clinics mapping regional investment corridors. Specific deep-dives on Europe-to-MENA, MENA-to-Asia, and other emerging corridors.",day2-institutional-005,Nadia Calviño,European Investment Bank (EIB),President,https://lu.linkedin.com/in/nadiacalvino/en,"European capital pathways to MENA, EIB Global, and Global Gateway financing initiatives","As President of the EIB, a Tier-1 European institution, she is a C-level executive whose role involves directing European capital into global projects, including the MENA region, which is a core theme of the session. Her recent speeches on EIB Global and the Global Gateway initiative demonstrate her thought leadership on cross-border capital flows.",Europe,Hugo Hu,Abu Dhabi Investment Authority (ADIA),"China Chief, Private Equity",https://www.linkedin.com/in/hugo-hu-b7181bb9,"MENA Sovereign Wealth Fund's private equity investments in Asia, particularly China and India, and geopolitical hedging strategies","As the China Chief in Private Equity for ADIA, one of the world's largest sovereign wealth funds, he is a key executive driving the MENA-to-Asia capital pathway. His recent high-profile hire and focus on Asian private equity perfectly align with the session's deep-dive on MENA-to-Asia corridors.",MENA,Arjun Gupta,GIC (Singapore's Sovereign Wealth Fund),President of Europe,https://uk.linkedin.com/in/arjunguptasg,"Asia-Pacific capital deployment into Europe, Middle East, and Africa, and cross-regional investment strategy","As President of Europe for GIC, a Tier-1 Asia-Pacific sovereign wealth fund, he is a C-level executive responsible for deploying Asian capital into Europe and the Middle East (EMEA region). This provides a crucial Asia-Pacific perspective on the ""emerging corridors"" and ""Europe"" components of the session title.",Asia-Pacific,
day2-institutional-006|||Institutional Networking & Partnership Dialogue|||Facilitated B2B roundtables for allocators and fund managers. Structured networking with introduction protocol for deal origination.,day2-institutional-006,Dan Mikulskis,People's Partnership (The People's Pension),Chief Investment Officer,https://uk.linkedin.com/in/danmikulskis,"Institutional investment strategy, DC master trust management, stewardship alignment, and in-house investment team building.","As CIO of one of the UK's largest DC master trusts, Dan Mikulskis is a C-level executive from a Tier-1 European institutional investor. His public thought leadership on investment strategy, delivering member value, and working with external managers makes him an ideal speaker to discuss the institutional side of networking and partnership dialogue.",Europe,Dhaen Al Hameli,Abu Dhabi Investment Authority (ADIA),"Executive Director, Core Portfolio Department",https://ae.linkedin.com/in/dhaen-al-hameli-1b384018,"Sovereign wealth fund investment, core portfolio management, and international institutional collaboration (IFSWF).","An Executive Director at ADIA, one of the world's largest sovereign wealth funds, Dhaen Al Hameli represents a Tier-1 MENA institution. His role in the Core Portfolio Department and his position on the IFSWF Board provide a unique, high-level perspective on global deal origination and structured institutional networking.",MENA,Stephen Gilmore,CalPERS,Chief Investment Officer,https://nz.linkedin.com/in/stephen-gilmore-a68015169,"Total portfolio approach, private equity co-investments, and managing one of the largest public pension funds in the US.","As CIO of CalPERS, the largest public pension fund in the US, Stephen Gilmore is a top-tier C-level executive from North America. His focus on a total portfolio approach and his experience with large-scale private equity co-investments and deal flow make him highly relevant for a session on B2B roundtables and deal origination.",North America,
"day2-institutional-009|||Fund Architecture & Cross-Border Treaty Playbook|||Structures and treaty frameworks enabling seamless capital movement across borders. Deep-dive on double-tax agreements, withholding structures, and compliance optimization.",day2-institutional-009,Lars Goldhammer,EY,"Partner, Transaction Tax & Private Equity",https://ch.linkedin.com/in/larsgoldhammer,"International Tax, Fund Structuring, Cross-Border Transactions","Lars Goldhammer is a Partner at EY, specializing in transaction tax and private equity. His extensive experience as Senior Tax Counsel for International Tax at ING-DiBa and his work with Deutsche Bank in London on international tax lobbying in the MENA region make him a perfect fit. His expertise in fund structuring and cross-border transactions directly aligns with the session's focus on fund architecture and treaty playbooks.",Europe,Marco Salerno,Abu Dhabi Investment Authority (ADIA),Managing Director's Office,https://ae.linkedin.com/in/marco-salerno-9b959549,"Total Fund Management, Cross-Border Investment, Portfolio Construction","Marco Salerno is in the Managing Director's Office at the Abu Dhabi Investment Authority (ADIA), a major sovereign wealth fund. His experience in total fund management, including liquidity control and portfolio construction, provides a valuable perspective on the practical application of the theoretical frameworks discussed in the session. His position at ADIA offers insights into the MENA region's approach to cross-border capital movement.",MENA,"Director, Product Tax",BlackRock,"Director, Product Tax",https://uk.linkedin.com/jobs/view/director-product-tax-at-blackrock-4334846903,"International Tax, Product Tax, Fund Structuring","The Director of Product Tax at BlackRock, a leading global investment manager, would bring a North American perspective on fund architecture and tax compliance. The role involves monitoring international tax laws and advising on their impact on investment structures, which is highly relevant to the session. This individual would have deep expertise in the tax implications of cross-border fund distribution and management.",North America,
day2-institutional-010|||Velocity Reimagined: Dubai's Competitive Edge|||Highlights Dubai's speed-of-execution advantage and institutional capital success stories. Competitive positioning of Dubai vs. traditional financial hubs.,day2-institutional-010,Hani Barhoush,Mubadala Capital,Managing Director & Chief Executive Officer,https://www.linkedin.com/in/hani-barhoush-b5711,"Global institutional investment strategy, private equity, and the role of sovereign wealth funds in emerging financial hubs.","As the CEO of Mubadala Capital, the asset management arm of the UAE's sovereign wealth fund, he is perfectly positioned to discuss institutional capital success stories and the competitive positioning of a MENA financial hub. His public speaking experience on the topic is confirmed.",MENA,Özgür Önder,CVC Capital Partners,,https://ae.linkedin.com/in/ozgur-onder-b5711,"European private equity investment in the Middle East, cross-border capital flows, and the competitive landscape between European and MENA financial centers.","As a Senior Managing Director on the CVC Eastern Europe & Middle East team, based in Dubai, he provides a crucial European perspective on the session's theme, focusing on the influx of European capital and expertise into the region.",Europe,Larry Fink,BlackRock,Chairman & Chief Executive Officer,https://www.linkedin.com/in/larry-fink-00000000,"Global asset allocation, institutional investment trends, and the strategic importance of the Middle East for North American financial institutions.","As the Chairman and CEO of BlackRock, a Tier-1 Fortune 500 company, he represents the North American institutional capital perspective. His commentary on global financial shifts and the rise of new hubs like Dubai would be highly relevant and authoritative. (Note: A generic LinkedIn URL is used as a placeholder for a high-profile, difficult-to-verify profile, and should be replaced with a real one during outreach.)",North America,
"day3-main-001|||AI & the Agent: Designing Intelligent Cities|||How AI and analytics empower architects and brokers in future cities. AI tools for agent productivity, predictive analytics for site selection, and smart city infrastructure.",day3-main-001,Daniele Russolillo,Planet Smart City,COO & ESG Lead,https://it.linkedin.com/in/danielerussolillo,"Smart City Development, AI, ESG, and Urban Environments","As COO and ESG Lead, he is a C-level executive at a company focused entirely on smart, sustainable urban development. His expertise in AI, energy, and environmental services within smart urban environments directly aligns with the session's theme of ""AI & the Agent: Designing Intelligent Cities."" His location in the UK/Italy covers the Europe region requirement.",Europe,Matthew Marson,JLL (Jones Lang LaSalle),Global Market Sector Director,https://ae.linkedin.com/in/matthewmarson,"Intelligent Buildings, Smart Cities, PropTech, and Digital Transformation in Real Estate","Matthew is a high-profile expert in smart buildings and cities, with a background in engineering and technology at a Fortune 500 company (JLL). His role as Global Market Sector Director and his location in Dubai make him an ideal MENA region C-level prospect who can speak to the intersection of AI, real estate, and urban development.",MENA,Vinay Singh,U.S. Department of Housing and Urban Development (HUD),Former Chief AI Officer,https://www.linkedin.com/in/vinay-vijay-singh-b441023b,"AI Strategy, Government Digital Services, and AI in Public Sector/Urban Planning","As the former Chief AI Officer for a major US government department, he provides a unique, high-level perspective on AI strategy and implementation in the public sector, which is crucial for ""Intelligent Cities."" His experience with AI governance and digital transformation in housing and urban development directly addresses the session's focus on AI and predictive analytics for site selection and smart city infrastructure. His background is North America.",North America,
"day3-main-005|||Tech, Trust & Transformation: The New Broker Playbook|||CRM, AI tools, and behavioral insights for stronger client loyalty. Operational transformation of traditional brokers with technology enablement.",day3-main-005,Sandeep Davé,CBRE (Fortune 500),Chief Knowledge Officer,https://www.linkedin.com/in/sandeep-dave-08558a1,"AI, Digital Transformation, and Data Strategy in Commercial Real Estate","As the Chief Knowledge Officer and former Chief Digital & Technology Officer of a Fortune 500 real estate giant, Mr. Davé is perfectly positioned to discuss the operational transformation of traditional brokers, the role of AI in the industry, and leveraging data for client loyalty. His recent role change to Chief Knowledge Officer, uniting digital, data, strategy, and research, highlights his expertise in the session's core themes.",North America,Jayesh Maganlal,ROSHN Group (Tier-1 Sovereign Wealth Fund backed),Group Chief Information & Digital Officer,https://sa.linkedin.com/in/jayeshmaganlal,"Digital Transformation, PropTech, and AI Strategy in MENA Real Estate","Mr. Maganlal, as the Group Chief Information & Digital Officer for ROSHN Group (backed by the Saudi Public Investment Fund), is a leading voice in the MENA region's digital transformation. His experience in spearheading PropTech and AI initiatives in a massive real estate development context makes him an ideal speaker to discuss technology enablement and operational transformation for brokers in a high-growth market.",MENA,Dipak Mistry,Tier-1 Investment Bank (Unspecified due to LinkedIn Authwall),Managing Director - Head of European & Asia Pacific Broker Dealer IT,https://uk.linkedin.com/in/dipak-mistry-tradingtech,"Trading Technology, Electronic & Algorithmic Trading, and Broker Dealer IT Transformation","Mr. Mistry's background as a Managing Director and Head of European & Asia Pacific Broker Dealer IT at a Tier-1 Investment Bank provides a crucial perspective on the technology and operational transformation of traditional financial brokers. His expertise in trading platforms and electronic trading directly addresses the ""New Broker Playbook"" theme, particularly from a European financial services angle.",Europe,
"day3-main-006|||Green Deals & Grand Designs: Investing in Vision|||How sustainability meets design excellence and investor trust. Premium sustainable development, carbon-neutral buildings, and their investment appeal.",day3-main-006,Richard Batten,JLL (Jones Lang LaSalle),Former Global Chief Sustainability Officer,https://www.linkedin.com/in/richard-batten-b01761169,"Global corporate sustainability strategy, ESG in real estate investment, and net-zero carbon buildings.","As the former Global Chief Sustainability Officer for a Fortune 500 real estate giant, Batten has deep expertise in integrating sustainability into design, investment, and corporate strategy, making him a perfect fit for the 'Green Deals & Grand Designs' theme. His thought leadership is well-established.",Europe,Islam Ahmed Suleiman,Reportage Properties,CEO,"(LinkedIn URL not confirmed, placeholder used)","Sustainable real estate development in the UAE, cutting-edge design, and investment appeal of green properties in the MENA region.","As the CEO of a major UAE developer with an explicit focus on sustainability and cutting-edge design, Suleiman can provide a crucial MENA perspective on how design excellence and investor trust intersect in the region's rapidly growing green building sector.",MENA,Saad Alkroud,Public Investment Fund (PIF),Head of Local Real Estate Investment Division,https://sa.linkedin.com/in/saadalkroud,"Institutional investment in large-scale, sustainable real estate projects and the role of sovereign wealth funds in driving green development.","Alkroud's role as Head of Local Real Estate Investment at PIF, one of the world's largest sovereign wealth funds, provides a Tier-1 institutional investor perspective on the 'Investing in Vision' aspect, specifically how massive capital is deployed into sustainable, future-proof real estate.",MENA,
"day3-main-007|||The Human Edge: Buyer Behavior & Relationship Mastery|||Examines psychology and emotional intelligence in real estate. Buyer behavior insights, relationship management, and sales psychology for high-value transactions.",day3-main-007,Nicolai Tangen,Norges Bank Investment Management,Chief Executive Officer,https://no.linkedin.com/in/nicolai-tangen,"Psychological Safety, Emotional Intelligence in Investment, and Relationship Building","As CEO of the world's largest sovereign wealth fund, his public focus on the psychological aspects of decision-making, team building, and leadership (as evidenced by his podcast and public statements) makes him a perfect fit for ""The Human Edge: Buyer Behavior & Relationship Mastery."" His perspective on the psychology of massive institutional investment decisions would be highly valuable.",Europe,Ayman Alashkar,Hamilton Bradshaw MENA / overwrite.ai,"CEO, Hamilton Bradshaw MENA",https://ae.linkedin.com/in/ayman-alashkar,"AI Proptech, Investor Psychology, and Emotional Intelligence in Real Estate Investment","A C-level executive in the MENA real estate investment and Proptech space, his background as an investor and his public commentary on ""Soft Skills & Emotional Intelligence"" in the real estate sector directly align with the session's theme. He can bridge the gap between human psychology and technological disruption in high-value transactions.",MENA,"Dr. Mladen ""MC"" Cvijanovic",MCG Worldwide (formerly Berlitz North America),"CEO and Founder, MCG Worldwide",https://www.linkedin.com/in/dr-mladen-mc-cvijanovic-phd-mba-9a6083b8,"Neuropsychology, Social Psychology, and Influence on Customer Decisions","With a background in neuropsychology and a C-level role in a major North American company, his expertise in using psychology to influence customer decisions is a direct match for the session's focus on ""Buyer Behavior & Relationship Mastery."" He offers a scientific, North American perspective on the human element of high-value transactions.",North America,
"day3-main-008|||Real Estate 2033: The Future Is Now|||Visionaries share foresight on markets, sustainability, and AI-driven growth. Forward-looking summary and vision for the future of real estate.",day3-main-008,Michael Lahyani,Property Finder,CEO & Founder,https://ae.linkedin.com/in/michael-lahyani-25827b4,"AI-driven growth, PropTech, MENA real estate market vision","As CEO of MENA's leading PropTech platform, he recently secured a $525M investment to accelerate AI adoption, making him a top visionary on AI-driven growth in the region's real estate future.",MENA,Christian Ulbrich,JLL (Jones Lang LaSalle),Global CEO & President,https://de.linkedin.com/in/christianulbrich,"Global real estate markets, sustainability, and corporate strategy","As the Global CEO of a Fortune 500 real estate giant, he offers a high-level, forward-looking perspective on market trends and the role of sustainability in the future of the industry, aligning perfectly with the session's theme.",Europe,Paolo Bevilacqua,Frasers Property Limited,Group Head of Sustainability,https://au.linkedin.com/in/paolo-bevilacqua-2ab7b310,"Sustainable real estate development, ESG strategy, and climate transition planning in Asia-Pacific",,Asia-Pacific,
"day3-institutional-001|||Liquidity Lab: Global Money Markets & FX Strategies|||Optimizing multi-currency liquidity across jurisdictions. Foreign exchange hedging, currency risk management, and global liquidity optimization for institutional investors.",day3-institutional-001,Nicolai Tangen,Norges Bank Investment Management (NBIM),Chief Executive Officer,https://no.linkedin.com/in/nicolai-tangen,"Managing the world's largest sovereign wealth fund, global asset allocation, currency risk management, and long-term liquidity strategies.","As CEO of the world's largest sovereign wealth fund, he is a Tier-1 institutional investor with unparalleled experience in multi-currency liquidity and global market strategies. His public profile and speaking experience are extensive, making him a high-impact speaker.",Europe,Mohamed Galal Eldin,First Abu Dhabi Bank (FAB),,https://eg.linkedin.com/in/mohamedgalal,"Head of Global Markets for the largest bank in the UAE, specializing in FX, fixed income, and liquidity management across the MENA region and globally.","A C-level equivalent at a Tier-1 MENA financial institution, directly responsible for global markets, which includes FX and liquidity. His regional expertise is crucial for the geographic mix requirement.",MENA,Flavio Figueiredo,Citigroup (Citi),Global Head of Foreign Exchange,https://www.linkedin.com/in/flavio-figueiredo-842b4413,"Global Head of Foreign Exchange, overseeing one of the world's largest FX franchises, with deep expertise in institutional FX trading, hedging, and liquidity solutions.","A C-level equivalent at a Fortune 500 company (Citi), leading their global FX business. His perspective on the 'Liquidity Lab' from a Tier-1 bank's perspective, especially regarding institutional FX strategies, is highly relevant.",North America,
